id,name,quality,level,category,realmRequirement,description,effects,dropChance,dropSource,sourceLevel,sourceScene
vitality_1,强身诀,common,1,body,0,最基础的炼体法门，锻炼体魄，增强生命力,hpBonus:50,0.02,通用掉落,1-10,灵气森林
spirit_1,聚气诀,common,1,spirit,0,吸纳天地灵气，凝聚丹田气海,spiritPerSec:0.5,0.02,通用掉落,1-10,灵气森林
attack_1,引气入体,common,1,combat,0,将灵气引入体内，增强攻击之力,attackBonus:8,0.02,通用掉落,1-10,灵气森林
defense_1,护体术,common,2,body,0,凝聚灵气护住周身，抵御外邪入侵,defenseBonus:5,0.02,通用掉落,1-10,灵气森林
dodge_1,灵巧身法,common,2,combat,0,身形轻盈，灵巧闪避敌人攻击,dodgeRate:2,0.02,通用掉落,1-10,灵气森林
crit_1,凝元功,common,3,combat,0,凝聚元气于一点，专注攻击要害,critRate:3,0.02,通用掉落,1-10,灵气森林
vitality_2,铜皮铁骨,fine,5,body,0,皮如铜铁，骨若金刚，炼体入门功法,hpBonus:120;defenseBonus:10,0.03,通用掉落,11-20,迷雾峡谷
spirit_2,灵气潮汐,fine,5,spirit,0,灵气如潮水般涌动，加速周天运转,spiritPerSec:1.2;attackBonus:5,0.03,通用掉落,11-20,迷雾峡谷
attack_2,青云剑气,fine,6,combat,1,剑气凝聚如青云，出手凌厉无匹,attackBonus:25;critRate:4,0.03,通用掉落,11-20,迷雾峡谷
defense_2,玄铁护体,fine,6,body,1,身披玄铁之甲，防御坚不可摧,defenseBonus:20;damageReduction:4,0.03,通用掉落,11-20,迷雾峡谷
lifesteal_1,吸灵大法,fine,7,combat,1,吸取敌人灵气化为生机，回血能力强,lifesteal:3;hpBonus:80,0.03,通用掉落,11-20,迷雾峡谷
critdamage_1,致命一击,fine,7,combat,1,攻击附带致命效果，暴击伤害提升,critRate:3;critDamage:25,0.03,通用掉落,11-20,迷雾峡谷
body_master_1,金刚不坏,rare,10,body,1,体若金刚，坚不可摧，炼体小成,hpBonus:300;defenseBonus:35;damageReduction:5,0.04,通用掉落,21-30,烈焰山脉
spirit_master_1,吞天噬地,rare,10,spirit,1,吞噬天地灵气化为己用，修炼速度大增,spiritPerSec:2.5;attackBonus:15,0.04,通用掉落,21-30,烈焰山脉
attack_master_1,烈焰斩,rare,11,combat,2,凝聚烈焰之力，斩敌于千里之外,attackBonus:50;critRate:6;critDamage:35,0.04,通用掉落,21-30,烈焰山脉
defense_master_1,不动如山,rare,11,body,2,稳如磐石，万法不侵,defenseBonus:45;damageReduction:10;hpBonus:200,0.04,通用掉落,21-30,烈焰山脉
dodge_master_1,虚空步,rare,12,combat,2,行走虚空，来去无踪,dodgeRate:8;defenseBonus:20,0.04,通用掉落,21-30,烈焰山脉
regen_1,生生不息,rare,12,body,2,生机绵绵不绝，每时每刻都在恢复,regenPerSec:5;lifesteal:4,0.04,通用掉落,21-30,烈焰山脉
body_advanced_1,不灭金身,epic,15,body,2,肉身不灭，滴血可重生，炼体大成,hpBonus:500;lifesteal:8;regenPerSec:8,0.05,通用掉落,31-40,玄天秘境
spirit_advanced_1,仙灵纳气,epic,15,spirit,2,吸纳仙灵之气，修炼速度大幅提升,spiritPerSec:5;hpBonus:300;attackBonus:30,0.05,通用掉落,31-40,玄天秘境
attack_advanced_1,天雷破空,epic,16,combat,3,天雷降世，破灭苍穹,attackBonus:100;critRate:10;critDamage:80,0.05,通用掉落,31-40,玄天秘境
defense_advanced_1,天罗万象,epic,16,body,3,万象森罗，护体无疆,defenseBonus:80;damageReduction:18;hpBonus:400,0.05,通用掉落,31-40,玄天秘境
crit_master_1,天诛地灭,epic,17,combat,3,天地同诛，毁灭一击,critRate:18;critDamage:120;attackBonus:60,0.05,通用掉落,31-40,玄天秘境
reflect_1,镜像诀,epic,17,body,3,以彼之道还施彼身，被攻击时反弹伤害,reflectDamage:15;defenseBonus:50;damageReduction:8,0.05,通用掉落,31-40,玄天秘境
dodge_advanced_1,仙影迷踪,epic,18,combat,4,仙人步法，幻影难测,dodgeRate:12;defenseBonus:40;damageReduction:6,0.05,通用掉落,31-40,玄天秘境
lifesteal_advanced_1,血魔大法,epic,18,combat,4,吸血为生，战意越强，吸血越多,lifesteal:15;attackBonus:50;hpBonus:250,0.05,通用掉落,31-40,玄天秘境
fire_essence,火灵诀,excellent,20,element,3,凝聚火灵之气，灼烧敌人,attackBonus:120;critRate:8;critDamage:60,0.06,通用掉落,41-50,太虚之境
